Sens1,2018/05/01,15:40,10.5,0.5
Sens1,2018/05/01,15:41,10.5,0.5
Sens1,2018/05/01,15:42,10.5,0.5
Sens1,2018/05/01,15:43,10.5,0.5
Sens1,2018/05/01,05:40,10.5,0.5
Sens1,2018/05/01,05:41,10.5,0.5
Sens1,2018/05/01,05:42,10.5,0.5
Sens1,2018/05/01,05:43,10.5,0.5
Sens2,2018/05/01,15:40,99.9,100.0
Sens2,2018/05/01,15:41,100.0,0.5
Sens2,2018/05/01,15:42,98.5,0.5
Sens2,2018/05/01,15:43,90.5,0.5
Sens2,2018/05/01,05:40,10.5,2.5
Sens2,2018/05/01,05:41,20.5,0.5
Sens2,2018/05/01,05:42,30.5,1.5
Sens2,2018/05/01,05:43,10.4,1.5
Sens3,2018/05/01,00:43,90.4,0.5
Sens3,2018/05/01,01:43,90.4,0.5
Sens3,2018/05/01,02:43,90.4,0.5
Sens3,2018/05/01,03:43,90.4,0.5
Sens3,2018/05/01,04:43,90.4,0.5
Sens3,2018/05/01,04:45,90.4,1.5
Sens3,2018/05/01,05:43,90.4,41.5
Sens3,2018/05/01,06:43,90.4,41.5
Sens3,2018/05/01,07:43,9.4,41.5
Sens3,2018/05/01,08:43,90.4,41.5
Sens3,2018/05/01,09:43,90.4,41.5
Sens3,2018/05/01,10:43,90.4,1.5
Sens3,2018/05/01,11:43,90.4,1.5
Sens3,2018/05/01,12:43,9.4,1.5
Sens3,2018/05/01,13:43,90.4,1.5
Sens3,2018/05/01,14:43,9.4,1.5
Sens3,2018/05/01,15:43,8.4,1.5
Sens3,2018/05/01,16:43,90.4,1.5
Sens3,2018/05/01,17:43,90.4,1.5
Sens3,2018/05/01,18:43,90.4,1.5
Sens3,2018/05/01,19:43,9.4,1.5
Sens3,2018/05/01,20:43,45.4,1.5
Sens3,2018/05/01,21:43,9.4,1.5
Sens3,2018/05/01,22:43,9.4,1.5
Sens3,2018/05/01,23:43,9.4,1.5
