S12,P15,2017/08/01
S12,P15,2017/08/02
S12,P15,2017/08/03
S12,P15,2017/08/04
S12,P15,2017/08/05
S12,P15,2017/08/06
S12,P15,2017/08/07
S12,P15,2017/08/08
S12,P15,2017/08/09
S12,P15,2017/08/10
S12,P15,2017/08/11
S12,P15,2017/08/12
S12,P15,2017/08/13
S12,P15,2017/08/14
S12,P15,2017/08/15
S12,P15,2017/08/16
S12,P15,2017/08/17
S12,P15,2017/08/18
S12,P15,2017/09/01
S12,P15,2017/09/02
S12,P15,2017/09/03
S12,P15,2017/09/04
S12,P15,2017/09/05
S12,P15,2017/09/06
S12,P15,2017/09/07
S12,P15,2017/09/08
S12,P15,2017/09/09
S12,P15,2017/09/10
S12,P15,2017/09/11
S12,P15,2017/09/12
S12,P15,2017/09/13
S12,P15,2017/09/14
S12,P15,2017/09/15
S12,P15,2017/09/16
S12,P15,2017/09/17
S12,P15,2017/09/18
S12,P15,2017/11/01
S12,P15,2017/11/02
S12,P15,2017/11/03
S12,P15,2017/11/04
S12,P15,2017/11/05
S12,P15,2017/11/06
S12,P15,2017/11/07
S12,P15,2017/11/08
S12,P15,2017/11/09
S12,P15,2017/11/10
S12,P15,2017/11/11
S12,P15,2017/11/12
S12,P15,2017/11/13
S12,P15,2017/11/14
S12,P15,2017/11/15
S12,P15,2017/11/16
S12,P15,2017/11/17
S12,P15,2017/11/18
S12,P15,2017/11/19
S10,P15,2017/08/01
S10,P15,2017/08/02
S10,P15,2017/08/03
S10,P15,2017/08/04
S10,P15,2017/08/05
S10,P15,2017/08/06
S10,P15,2017/08/07
S10,P15,2017/08/08
S10,P15,2017/08/09
S10,P15,2017/08/10
S10,P15,2017/08/11
S10,P15,2017/08/12
S10,P15,2017/08/13
S10,P15,2017/08/14
S10,P15,2017/08/15
S10,P15,2017/08/16
S10,P15,2017/08/17
S10,P15,2017/08/18
S10,P15,2017/09/01
S10,P15,2017/09/02
