PIDU20,S1,2020/01/01
PIDU20,S2,2020/01/01
PIDU20,S3,2020/03/20
PIDU20,S4,2020/04/10
PIDU20,S5,2020/05/05
PIDU20,S6,2020/06/30
PIDU20,S7,2020/07/25
PIDU20,S8,2020/08/10
PIDU20,S9,2020/09/18
PIDU20,S10,2020/10/22
PIDU20,S11,2020/11/11
PIDU20,S12,2020/12/05
PIDU21,S13,2021/01/03
PIDU21,S14,2021/01/03
PIDU21,S15,2021/03/25
PIDU21,S16,2021/04/14
PIDU21,S17,2021/05/08
PIDU21,S18,2021/06/28
PIDU21,S19,2021/07/24
PIDU21,S20,2021/08/12
PIDU21,S21,2021/09/20
PIDU21,S22,2021/10/28
PIDU21,S23,2021/11/15
PIDU21,S24,2021/12/09
PIDU22,S1,2022/01/02
PIDU22,S2,2022/02/18
PIDU22,S3,2022/03/24
PIDU22,S4,2022/04/13
PIDU22,S5,2022/05/07
PIDU22,S6,2022/06/29
PIDW19,S7,2019/01/01
PIDW19,S8,2019/02/15
PIDW19,S9,2019/03/20
PIDW19,S10,2019/04/10
PIDW19,S11,2019/05/05
PIDW19,S12,2019/06/30
PIDW19,S13,2019/07/25
PIDW19,S14,2019/08/10
PIDW19,S15,2019/09/18
PIDW19,S16,2019/10/22
PIDW19,S17,2019/11/11
PIDW19,S18,2019/12/05
PIDW20,S7,2020/01/03
PIDW20,S8,2020/02/19
PIDW20,S9,2020/03/25
PIDW20,S10,2020/04/14
PIDW20,S11,2020/05/08
PIDW20,S12,2020/06/28
PIDW20,S13,2020/07/24
PIDW20,S14,2020/08/12
PIDW20,S15,2020/09/20
PIDW20,S16,2020/10/28
PIDW20,S17,2020/11/15
PIDW20,S18,2020/12/09
PIDW21,S7,2021/01/02
PIDW21,S8,2021/02/18
PIDW21,S9,2021/03/24
PIDW21,S10,2021/04/13
PIDW21,S11,2021/05/07
PIDW21,S12,2021/06/29
PIDW21,S13,2021/07/30
PIDW21,S14,2021/08/21
PIDW21,S15,2021/09/25
PIDW21,S16,2021/10/30
PIDW21,S17,2021/11/20
PIDW21,S18,2021/12/15
PIDC20,S19,2020/01/05
PIDC20,S20,2020/02/20
PIDC20,S21,2020/03/26
PIDC20,S22,2020/04/15
PIDC20,S23,2020/05/09
PIDC20,S24,2020/06/30
PIDC20,S1,2020/07/25
PIDC20,S2,2020/08/13
PIDC20,S3,2020/09/21
PIDC20,S4,2020/10/29
PIDC20,S5,2020/11/16
PIDC20,S6,2020/12/10
PIDC21,S7,2021/01/05
PIDC21,S8,2021/02/21
PIDC21,S9,2021/03/27
PIDC21,S10,2021/04/16
PIDC21,S11,2021/05/10
PIDC21,S12,2021/06/30
PIDC21,S13,2021/07/26
PIDC21,S14,2021/08/14
PIDC21,S15,2021/09/22
PIDC21,S16,2021/10/30
PIDC21,S17,2021/11/17
PIDC21,S18,2021/12/11
PIDW22,S19,2022/01/03
PIDW22,S20,2022/02/19
PIDW22,S21,2022/03/25
PIDW22,S22,2022/04/14
PIDW22,S23,2022/05/08
PIDW22,S24,2022/06/28
