R5,FCode100,20,2015/01/01,05:40:31
R5,FCode100,140,2015/02/01,05:40:31
R5,FCode100,20,2015/01/02,05:40:31
R5,FCode100,20,2015/01/03,05:40:31
R5,FCode100,20,2015/01/04,05:40:31
R5,FCode100,20,2015/01/05,05:40:31
R5,FCode100,20,2015/01/06,05:40:31
R5,FCode100,20,2015/01/07,05:40:31
R1,FCode106,20,2015/02/01,05:40:31
R1,FCode100,20,2015/01/01,05:40:31
R1,FCode100,20,2015/01/02,05:40:31
R1,FCode101,20,2015/01/03,05:40:31
R1,FCode102,20,2015/01/04,05:40:31
R1,FCode103,20,2015/01/05,05:40:31
R1,FCode103,20,2015/01/06,05:40:31
R1,FCode105,20,2015/02/01,05:40:31
R1,FCode105,20,2015/02/02,05:40:31
R1,FCode101,20,2015/02/03,05:40:31
R1,FCode102,20,2015/02/04,05:40:31
R1,FCode103,20,2015/02/05,05:40:31
R1,FCode100,20,2015/03/01,05:40:31
R1,FCode100,20,2015/03/02,05:40:31
R1,FCode101,20,2015/03/03,05:40:31
R1,FCode102,20,2015/03/04,05:40:31
R1,FCode103,20,2015/03/05,05:40:31
R1,FCode100,20,2015/04/01,05:40:31
R1,FCode100,20,2015/04/02,05:40:31
R1,FCode101,20,2015/04/03,05:40:31
R1,FCode102,20,2015/04/04,05:40:31
R1,FCode103,20,2015/04/05,05:40:31
R1,FCode100,20,2015/05/01,05:40:31
R1,FCode100,20,2015/05/02,05:40:31
R1,FCode101,20,2015/05/03,05:40:31
R1,FCode102,20,2015/05/04,05:40:31
R1,FCode103,20,2015/05/05,05:40:31
R1,FCode100,3120,2015/06/01,05:40:31
R1,FCode100,20,2015/06/02,05:40:31
R1,FCode101,20,2015/06/03,05:40:31
R1,FCode102,20,2015/06/04,05:40:31
R1,FCode103,20,2015/06/05,05:40:31
